taxonomicName,popularityRating,commonNames
Atalantia monophylla,,nan
Atalantia simplicifolia,,nan
Ateramnus lucidus,,nan
Athamanta cretensis,,Daucus Creticus
Athamanta macedonica,,Petrosilinum
Athamanta officinale,,Galbanum
Athamanta oreoselinum,,"Berg Petersilie,Athamante"
Athanasia trifurcata,,nan
Athrixia angustissima,,nan
Athyrium arnottii,,nan
Athyrium filis-feminis,,nan
Athyrium microphyllum,,nan
Atractylis chinensis,,Ts'Ang Shu
Atractylis gummifera,,Cardo Ajonjero
Atractylis ovata,,"Shu Chiu,Ts'Ang Shu"
Atractylis sinensis,,Ts'Ang Shu
Atractylis sp,,nan
Atractylodes henryi,,nan
Atractylodes lancea,,"Hosoba-Okera,nan"
Atractylodes lanceavar.simplicifolia,,Tyosen-Okera
Atractylodes macrocephala,,nan
Atriplex barclayana,,nan
Atriplex canescens,,"Saltbush,nan"
Atriplex hortense,,Armuelle
Atriplex hortensis,,"Arva Armoles,Qataf Abyadh,Arroche Cultive,Orach,Armuella De Huerta"
Atriplex lentiformis,,nan
Atriplex linearis,,nan
Atriplex patula,,"Gemeine Melde,Arroche Des Champs,Uitstaande Melde"
Atriplex rosea,,Arage
Atriplex sp,,nan
Atropa acuminata,,nan
Atropa baetica,,Tabaco Gordo
Atropa bella-donna,,Belladonna
Atropa belladona,,Belladona
Atropa belladonna,,"Beradona,Belladone,Belladonna,Nightshade,Deadly,Guzelavratotu,Belladonne,Waldnachtschatten,Nwar Boton"
Atropa mandragora?,,Ya Pu Lu
Atropa sp?,,Niu Hsin Ch'Ieh Tzu
Attalea cohune,,nan
Attalea speciosa,,nan
Atylosia goensis,,nan
Atylosia mollis,,nan
Atylosia scarabaeoides,,nan
Aucuba japonica,,Ao-Ki
Auricularia auricula,,nan
Auricularia mesenterica,,nan
Avena fatua,,"Wildoat,Ch'Iao Mai,Yen Mai,Oats"
Avena satica,,Chaudar
Avena sativa,,"Dousar,Avena,Yulaf,Oats,Oatmeal"
Avena sp,,nan
Avena sterilis,,Aegilops
Averrhoa bilimbi,,"Balimbing,Belimbing besi,Belimbing buloh,L.,Zibeline,Bilin,Limeng"
Averrhoa carambola,,"L.,Gorensi,Blimbing alas,Belimbing manis,Belimbing sagi,Belimbing batu,Kembola,Wu Han Tzu,Yang T'Ao,Wu Leng Tzu"
Avicennia germinans,,Paletuvier
Avicennia nitida,,Mangle Prieto
Avicennia officinalis,,"Mangrove,White"
Avicennia sp.,,Api-api
Azadirachta indica,,"Tesbih Agaci,Nimva"
Azima tetracantha,,nan
Azolla rubra,,nan
Azorella caespitosa,,nan
Azorella diapensioides,,Jareta
Azorella gilliesii,,nan
Azorella glebaria,,Jareta
Azorella hareta,,nan
Azorella madreporica,,Ilareta
Azorella sp,,Yareta
Azorella yareta,,"Timiche,Yareta,nan"
Azukia angularis,,Azuki
Baccaurea brevipes,,Rambai bukit
Baccaurea genistelloides,,nan
Baccaurea motleyana,,"Rambai,Rambeh"
Baccaurea sp,,nan
Baccaurea wallichii,,Rambai
Baccaurea wilkesiana,,nan
Baccharis alamani,,nan
Baccharis articulata,,nan
Baccharis conferta,,nan
Baccharis cordifolia,,nan
Baccharis floribunda,,nan
Baccharis genistelloides,,nan
Baccharis glutinosa,,Axixtlcotl
Baccharis halimifolia,,nan
Baccharis helichrysoides,,nan
Baccharis microphylla,,nan
Baccharis multiflora,,nan
Baccharis notosergila,,Carqueja
Baccharis pteronioides,,Yerba De Pasmo
Baccharis ramulosa,,nan
Baccharis tridentata,,nan
Baccharis trimera,,nan
Baccharis trinervis,,nan
Backhousia citriodora,,nan
Bacopa monniera,,"Pa Ch T'Ien,Barbin Barri,Brambhi,Pu Tiao Ts'Ao"
Bacopa monnieri,,Beremi
Bacopa procumbens,,nan
Bactris gasipaes,,nan
Bactris maraja?,,nan
Bactris piritu,,nan
Baeckea frutescens,,"Si gamei-gamei,Unung atap,Jung rabat,Chuchur atap (Roof-edge)"
Bahia oppositifolia,,Plains Bahia
Baileya multiradiata,,Desert Baileya
Balanites aegyptiaca,,nan
Balanophora sp.,,nan
Baliospermum axillaea,,nan
Baliospermum axillare,,Danti
Baliospermum montanum,,Akar kari nasi
Ballota nigra,,"Ballota,Kara Isirgan,Sindiyan Al Ardh,Farasyun Aswad,Marrubio Negro,nan"
Balsamorhiza sagittata,,nan
Bambusa argentea-striata,,Bambu
Bambusa arundinacea,,Tabashir
Bambusa glaucescens,,Buloh china
Bambusa sp,,"Chu Huang,Chu Yeh Chiu,Tabasheer,Tvakkshiri"
Bambusa spinosa,,"Chih Chu,nan"
Bambusa tulda,,nan
Bambusa vulgaris,,"Bambu,Bambou,Buloh gading,Buloh tutul (spotted bamboo),Jajang ampel,Bambou De Jardin"
Banisteria caapi,,Banisteria
Banisteriopsis caapi,,nan
Banisteriopsis inebrians,,nan
Banisteriopsis rusbyana,,nan
Banisteriopsis sp,,nan
Baphia nitida,,nan
Baphicacanthus cusia,,nan
Baptisia leucantha,,False Indigo
Baptisia tinctoria,,"Wild Indigo,Wilder Indigo,Indigotier Sauvage,Baptisia,Wilde Indigo,Indigoweed,Baptasie Sauvage"
Barbarea vulgaris,,"Barbarakruid,Wintercress,Bottonaria,Yellow Rocket,Erba Barbara,Winter Kresse"
Barleria bispinosa,,nan
Barleria buxifolia,,nan
Barleria courtallica,,nan
Barleria cristata,,Sahachara
Barleria longifolia,,nan
Barleria lupulina,,"Feuilles La Fievre,Barre Vole,Barre Voleur"
Barleria prionitis,,"Sekunyit,Landep,Bunga landak (porcupine flower,Jarong kendem landep"
Barleria strigosa,,nan
Barosma betulina,,"Buchu,Diosme,Gotterstrauch,Bukko,Diosma,Bucco,Buko"
Barosma crenulata,,nan
Barosma serratifolia,,nan
Barosma serratioflia,,nan
Barringtonia acutangula,,Nichula
Barringtonia asiatica,,"Butun,Keben"
Barringtonia calyptrata,,nan
Barringtonia careya,,nan
Barringtonia cylindrostachya,,nan
Barringtonia insignis,,nan
Barringtonia macrostachya,,"Putat hutan,Putat gajah"
Barringtonia racemosa,,nan
Barringtonia sp,,nan
Barringtonia speciosa,,nan
Barringtonia spicata,,"Putah nasi,Jurai-jurai,Putat nasi,Pokok gajah beranak"
Basella alba,,"L.,Tian Kui Zi,T'Eng K'Uei,Lo K'Uei,Chung K'Uei,Yu Ts'Ai"
Basella rubra,,"Jingga,Oetji-oetji,Genjerot,Remayong,Gendolak"
Bassia latifolia,,nan
Bastardia viscosa,,Chivatera
Batis maritima,,"Barrilla,Crisse Marine"
Bauhinia acuminata,,"Bunga perak,Kupu-kupu"
Bauhinia bidentata,,"Katup-katup,Ketup-letup"
Bauhinia calycina,,Keretup hitam
Bauhinia championi,,Yang Ti Gen
Bauhinia divaricata,,"Petit Cancon,Bois Calecon,Petit Calecon,Bois Ticalecon,Collegue Matouri"
Bauhinia excisa,,nan
Bauhinia flammifera,,Akar ketup-ketup
Bauhinia fulva,,Areuj koepoe-koepoe
Bauhinia griffithiana,,"Kempaga,Selak kerbau"
Bauhinia heterophylla,,nan
Bauhinia hirsuta,,nan
Bauhinia lingua,,Lidah-lidah
Bauhinia malabarica,,nan
Bauhinia merrilliana,,nan
Bauhinia mexicana,,nan
Bauhinia monandra,,"Caractere Des Hommes,Flamboyan Extranjero"
Bauhinia purpurea,,Tapak kuda
Bauhinia refescens,,nan
Bauhinia reticulata,,nan
Bauhinia retusa,,nan
Bauhinia rufescens,,nan
Bauhinia scandens,,Areuj koepoe-koepoe
Bauhinia sp,,nan
Bauhinia spathacea?,,nan
Bauhinia splendens,,nan
Bauhinia thonningii,,nan
Bauhinia tomentosa,,"Kupu kupu,St Thomas Tree"
Bauhinia ungulata,,nan
Bauhinia vahlii,,nan
Bauhinia variegata,,"Khuf Al Jamal,Tapak kerbau,Bauhinia Baidha,Dagh Abanosi,Kovidara"
Befaria aestuans,,Bejar
Befaria glauca,,nan
Begonia acuminata,,nan
Begonia acutifolia,,nan
Begonia bahiensis,,nan
Begonia balmisiana,,nan
Begonia crassiostus,,nan
Begonia cucullata,,nan
Begonia dominicalis,,nan
Begonia evansiana,,"Ch'Iu Hai T'Ang,Tuan Ch'Ang Ts'Ao,Shu-Kaido,Ch'Un Hai T'Ang"
Begonia evanstana,,nan
Begonia gracilis,,nan
Begonia guaduensis,,nan
Begonia humilis,,nan
Begonia isoptera,,Riang batu
Begonia laciniata,,nan
Begonia luxurians,,nan
Begonia meridensis,,nan
Begonia minor,,nan
Begonia oblongata,,nan
Begonia rossmanniae,,nan
Begonia sanguinea,,nan
Begonia sp,,nan
Begonia strigillosa,,nan
Beilschmiedia appendiculata,,nan
Beilschmiedia madang,,nan
Beilschmiedia pahangensis,,"Tampu rengat,Medang salah (false laurel),Medang tandok (horn laurel)"
Beilschmiedia tonkinensis,,Perapoh
Belamcanda chinensis,,"She Kan,Hi-Ogi,Pokok kipas (fan plant),Suliga,Semprit"
Belliolum haplopus,,nan
Bellis perennis,,"Bellorita,Zahr Al Lulu,Koyungozu,Zehr Al Rabee,Harmesha Bahr,Daisy,Ilk Bahar Chichegi,Maya"
Benincasa cerifera,,"To-Ga,Bligo,Beligu,Kundur,Blonchengh"
Benincasa hispida,,"Tung Kua,Ti Chih,Shui Chih,Hindistan Qabaghi,Shijar Abyadh Hindi,Pai Kua,Tung Kua Tsu"
Benthamantha greenmanii,,nan
Berberis amurensis,,nan
Berberis aristata,,"Indian Lycium,Hint Amberparisi"
Berberis asiatica,,Haridra
Berberis chengii,,nan
Berberis longipes,,nan
Berberis lycium,,Indian Lycium
Berberis nervosa,,nan
Berberis repens,,nan
Berberis sp,,nan
Berberis thunbergii,,"Megi,Hsiao Po,Shan Shih Liu,Tzu Po"
Berberis trifoliolata,,nan
Berberis vulgaris,,"Amberparis,Epine Vinette,Agracejo"
Berchemia lineata,,nan
Bergenia ciliata,,nan
Bergenia ligulata,,nan
Bergenia purpurascens,,nan
Bergia odorata,,nan
Berkheya discolor,,nan
Berkheya onopordifolia,,nan
Berkheya spp.,,nan
Berlandiera lyrata,,nan
Berlinia globiflora,,nan
Bersama abyssinica,,nan
Bertholletia excelsa,,nan
Berula erecta,,Water Parsnip
Berula thumbergii,,nan
Besleria sp,,nan
Besseya rubra,,nan
Beta vulgaris,,"Acelga,Betterave,Beet,Betterouge,Betterouge Potagere,Remolacha,Mexico"
Betula alba,,"Husagaci,Qush Aghaji,Hua Mu,Bouleau,Qayin Aghaji,Shajarat Al Talmul"
Betula ermanii,,nan
Betula lenta,,Tatli Husagaci
Betula lutea,,nan
Betula nigra,,nan
Betula papyrifera,,nan
Betula populifolia,,nan
Betula utilis,,nan
Betula veerucosa,,nan
Betula verrucosa,,Abedul
Bhesa paniculata,,Arn.
Bidens bipinnata,,nan
Bidens bipinnatus,,nan
Bidens cernua,,"Knikkend Tandzaadkruid,Bident Penche,Burr Marigold,Nodding Marigold"
Bidens chinensis,,nan
Bidens cynapiifolia,,nan
Bidens frondosa,,nan
Bidens graveolens,,nan
Bidens leucantha,,nan
Bidens parviflora,,"Kuei Chen Ts'Ao,Kuei Ch'Ai"
Bidens pilosa,,"Z'Aiguille,Ketul,Subang puteri batek,Romerillo,Clavelito De Monte,Alfiler,Saltillo,Aceitilla,Jarongan,Pau-pau pasir,Yema De Huevo"
Bidens pilosus,,Zeguie
Bidens sp,,nan
Bidens tripartita,,"Sukeneviri,Lang Pa Ts'Ao,Tel Maiy,Water Agrimony,Qinnab Maiy"
Bidens tripartitus,,nan
Bignonia alliacea,,nan
Bignonia capreolata,,"Trumpet Flower,nan"
Bignonia ophthalmica,,nan
Bignonia unduis-cati,,nan
Bignonia unguis-cati,,nan
Bignonia unguiscati,,nan
Biophytum adiantoides,,Payong ali
Biophytum petersianum,,Klotzsch
Biophytum reinwardtii,,"Krambilan,Biskutjinggan,Kutjinggan"
Biophytum sensitivum,,"Sikerpud,Sirhirput,Daun kutjinggan,Makahia,Damon huya,Inja payung"
Bischofia javanica,,nan
Bischofia sp,,nan
Biscutella auriculata,,Hierba De Los Anteojos
Bixa orellana,,"Achote,Uruku,Beni-No-Ki,Orleanstrauch,Bija,Roucou,Roucoyer,Roucouyer,Onoto,Achiotl"
Blackstonia perfoliata,,Churmel The Great
Blechnum orientale,,"Paku lipan (centipede fern),Paku ikan (fish fern)"
Blechnum pyramidatum,,nan
Blechnum spicant,,nan
Blechum brownei,,nan
Blechum pyramidatum,,"Campeche Mallow,nan"
Bleekeria sandwichensis,,nan
Blepharis capensis,,nan
Blepharis edulis,,nan
Blepharis espinosa,,nan
Blepharis linariaefolia,,nan
Blepharocalyx cisplatensis,,nan
Blepharodon mucronatum,,nan
Bletia campanulata,,nan
Bletia hyacintha,,"Pai Chi,nan"
Bletilla hyacinthina,,nan
Bletilla striata,,"Pai Chi,Siran,Si-Ran"
Blighia sapida,,"Akee,Aki,Arbre A Fricasser"
Blighia unijugata,,nan
Blumea balsamifera,,"Telinga kerbau (Buffalo ear),Sembo,Sembing,Sembang,Chapa,Capa,Sembong,Kecape,Sembung"
Blumea chinensis,,Akar semboh
Blumea densiflora,,nan
Blumea lacera,,"Lumai hutan,Kayu batu"
Blumea myriocephala,,"Kepijit,Chapa"
Blumea pubigera,,nan
Bobea sp,,nan
Bocconia arborea,,Llorasangre
Bocconia cordata,,"Po Lo Hui,nan"
Bocconia frutescens,,"Yanali,Palo De Toro,Bois De Coq,Yagrumo Macho,Bois Coq D'Inde,Pan Blanco,Higeura Infierno,Bois Codine,Aji Moron,Arbre A Pain,Higuera Del Diablo,Celandine,Tree,Gengibrillo,Llora Sangre,Cocoxihuitl"
Bocconia vulcanica,,nan
Boehmeria nipononivea,,Kara-Musi
Boehmeria nivea,,"Ortie Blanche,Ch'U Ma,Rami-rami,Madame Parquet,Rami,Ramie"
Boehmeria virgata,,nan
Boenninghausenia albiflora,,nan
Boerhaavia chinensis,,nan
Boerhaavia coccinea,,nan
Boerhaavia diffusa,,"Pega Pollo Cimarron,Manger Cochon,Toston,L.,Pega Pollo,Liane Manger Cochon,Punarnava"
Boerhaavia erecta,,"Patagon,nan"
Boerhaavia hirsuta,,Erva Toustao
Boerhaavia paniculata,,nan
Boerhaavia plumbaginea,,nan
Boerhaavia repanda,,Ketch belangan
Boerhaavia repens,,nan
Boerhaavia sp,,nan
Boerhavia diffusa,,nan
Boerlagiodendron sp,,nan
Bomarea sp,,nan
Bombax buonopozence,,nan
Bombax buonpozense,,nan
Bombax ceiba,,nan
Bombax ellipticum,,nan
Bombax malabaricum,,"Bombaks,Kiwata,Salmali"
Bombax palmeri,,nan
Bonnaya antipoda,,"Sumpu chaching,Mata juju,Kerak-kerak"
Bonnaya serrata,,"Kerak-kerak jantan,Urek-urek polo"
Bontia daphnoides,,Olivier Batard
Boophane disticha,,nan
Boophone disticha,,nan
Borago officinalis,,"Borraja,Fleurs De Bourrache,Hodan,Ruri-Zisa,Bourrache"
Borassus flabellifer,,"Pei Shu,Palmira Hurma Agaci"
Borassus flabellifera,,"Lontar,Kolir watan,Seriai,Rontal"
Borojoa patinoi,,nan
Borreria articularis,,"Gempur watu,Rumput susur,Rumput sumpu,Rumput setawar"
Borreria capitata,,nan
Borreria hispida,,nan
Borreria laevis,,"Coupe Colonne,nan"
Borreria latifolia,,nan
Borreria ocymoides,,nan
Borreria verticillata,,nan
Borrichia arborescens,,nan
Boschniakia glabra,,nan
Boscia octandra,,nan
Bosqueia angolensis,,nan
Boswellia bhaw-dajiana,,Incense
Boswellia carteri,,"Ju Hsiang,Tu Lu Hsiang,To Chia Lo Hsiang,Hsun Lu Hsiang,Male Incense,Incienso,Mo Le Hsiang,T'Ien Tse Hsiang,Kondor"
Boswellia glabra,,"Olibanum,nan"
Boswellia papyrifera,,nan
Boswellia serrata,,"Chamaepitys,Tus,Frankincense,Olibanum"
Boswellia sp,,"Encens Male,Olibano,Wierookboom,Ju Hsiang,Fustet,Weihrauchbaum,Olibanum,Frankincense,Incienso,Hsun Lu Hsiang,Clavalier,Strepuledium"
Boswellia thurifera,,nan
Botrychium lunaria,,"Moonwort,Lunaria Menor,Gazel Dili"
Botrychium ternatum,,nan
Botrychium virginianum,,nan
Botryopleuron axillare,,nan
Bouchea sp,,nan
Bouea macrophylla,,"Kundangan,Gandaria"
Bougainvillea glabra,,"Bougainvillier,Bougainviller,Trinitaria"
Bougainvillea spectabilis,,nan
Bourreria formosa,,nan
Bourreria huanita,,Yzquixochitl
Bourreria ovata,,nan
Boussingaultia baselloides,,nan
Bouteloua gracilis,,nan
Bouvardia ternifolia,,nan
Bowdichia virgilioides,,Alcornoque
Bowiea volubilis,,nan
Bowiea vulubilis,,nan
Brabejum stellatifolium,,nan
Brachiaria paspaloides,,nan
Brachyclados stuckertii,,Herba Brachycladi
Brachylaena elliptica,,nan
Brachylaena hutchinsii,,nan
Brachystegia spiciformis,,nan
Brachystelma foetidum,,nan
Brasenia peltata,,"Hsien Mao Chiu,Shun Ts'Ai,Shun,Chu Shun,Shui K'Uei"
Brasenia schreberi,,"Shui K'Uei,Shun Ts'Ai,Zyunsai"
Brassica campestris,,"Abura-Na,Salgam,Chou,Ma Chieh"
Brassica chinensis,,Pai Ts'Ai
Brassica eruca,,Rocket
Brassica hirta,,"Mustard,Sarshapa"
Brassica integrifolia,,nan
Brassica juncea,,"Karasi-Na,Sawi-sawi,Sesawi"
Brassica kaber,,"Moutarde,Mostaza Criollo,Mustard,Moutarde Blanche"
Brassica lanceolata,,Chieh
Brassica napobrassica,,Turnip
Brassica napus,,"Nabo,Naveterinary,Turnip"
Brassica nigra,,"Kuro-Garasi,Ch'Ing Chieh,Qara Khardal,Siyah Hardal,Khardal Aswad,Mustard,Mostaza Negra,Nware Mostaude"
Brassica oleracea,,"Col,Repollo,Chou,Kan Lan,Lan Ts'Ai,Weisskohl,Cabbage,Berza"
Brassica rapa,,"Wu Ching,Shalgham,Yun T'Ai,Yu T'Sai,Man Ching,Abura-Na,Shelem,Turnip"
Brassica rugosa,,nan
Brassica sp,,"Chieh,Rape,nan"
Bravaisia floribunda,,nan
Bravaisia sp,,nan
Breynia cernua,,nan
Breynia discigera,,Saga monyit
Breynia fruticosa,,nan
Breynia patens,,nan
Breynia reclinata,,"Pokok hujan panas,Janggi padang,Ambin buah,Chechermean,Saga"
Breynia rhamnoides,,"Hujan panas,Pavala Poola"
Breynia sp,,nan
Brickelia cavanillesii,,nan
Brickellia cavanillesi,,nan
Brickellia lanata,,nan
Brickellia sp,,nan
Brickellia squarrosa,,nan
Brickellia vernoicaefolius,,nan
Brickellia veronicaefolia,,nan
Brickellia veronicaefolius,,nan
Bridelia ferruginea,,nan
Bridelia micrantha,,nan
Bridelia monoica,,"Kanyere,KereKenidai"
Bridelia penangiana,,Kenidai
Bridelia retusa,,"Pow nam,Teng nam"
Bridelia stipularis,,"Kenidai babi,nan"
Bridelia tomentosa,,nan
Briza minor,,nan
Bromelia karatas,,nan
Bromelia nidus-puellae,,nan
Bromelia pinguin,,Pingouin
Bromheadia sp.,,Seraman
Bromus catharticus,,nan
Bromus mollis,,nan
Brosimum alicasrtum,,nan
Brosimum alicastrum,,Caucho Macho
Brosimum utile,,Cowtree
Broussaisia arguta,,nan
Broussaisia palludosa,,nan
Broussonetia papyrifera,,"Ch'U,Ku Shu,nan"
Browallia americana,,nan
Browallia demissa,,Botonera
Brownea grandiceps,,nan
Brownea latifolia,,nan
Brownea sp,,nan
Brucea amarissima,,nan
Brucea antidysenterica,,nan
Brucea javanica,,"Hempedu beruang (Bear gall),Tambur bui,Ya Dan Zi,Embalau betina,Melada pahit (Bitter pepper),Sikalur,Lada barau,Sarai pusur,Malur,Kwalot,Lada pahit (Bitter pepper),Dadih-dadih"
Brucea sumatrana,,"Kosam,Macassar Seed,Tambara Maritja,Lada Pahit"
Brugmansia amesianum,,"Kwai Borrachero,Culebra Borrachere"
Bruguiera conjugata,,nan
Brunfelsia hopeana,,"Manaca,Manaka,Vegetable Mercury"
Brunfelsia latifolia,,nan
Brunfelsia maritima,,nan
Brunsfelsia hopeana,,nan
Brunsvigia radulosa,,nan
Bryonia alba,,"Bryonia,Seytansalgami"
Bryonia cretica,,Bryony
Bryonia dioica,,"Enab Al Hayah,Burionia,Nueza,White Bryony,Tre Mara"
Bryonopsis affinis,,nan
Bryonopsis laciniosa,,nan
Bryophyllum calycinum,,"Bryofyllum,Nabat Al Hayat,Tawugh Penje Si"
Bryophyllum pinatum,,nan
Bryophyllum pinnatum,,"Tope-Tope,Bunitiris,Sedingin,Loup Garou,Loup-Garou,Yerba Bruja,L'Ane Blanc,Ganti batang,Sanglou,Higuey,Suru bebek,Kerenchong,Febrivier,Feuilles Sorcier,Bruja,Z'Herbe Mal Tete,Daun sejuk,Seringin,Feuilles Loup-Garou"
Buchanania latifolia,,nan
Buchanania lucida,,Kelumpang keras
Buchenroedera viminea,,nan
Buchholzia coriacea,,nan
Buchnera lithospermifolia,,nan
Buddleja americana,,Zayolizcan
Buddleja asiatica,,"Lour.,Mengayen,Kai bok,Daukfou"
Buddleja brasiliensis,,nan
Buddleja cambara,,nan
Buddleja cordata,,nan
Buddleja corrugata,,nan
Buddleja curviflora,,"Nao Yu Hua,Tsui Yu Ts'Ao"
Buddleja globosa,,"Palnin,Quisuar"
Buddleja incana,,"Palnin,Quisuar"
Buddleja lindleyana,,nan
Buddleja macrostachya,,nan
Buddleja madagascariensis,,Lamk.
Buddleja marrubiifolia,,nan
Buddleja marubifolia,,nan
Buddleja marubiifolia,,nan
Buddleja officinalis,,"Mi Meng Hua,Shui Chin Hua"
Buddleja perfoliata,,nan
Buddleja salviifolia,,nan
Buddleja scordioides,,nan
Buddleja sessiliflora,,nan
Buddleja sp,,nan
Buddleja tucumanensis,,nan
Buddleja yunnanensis,,nan
Bulbine asphodeloides,,nan
Bulbine latifolia,,nan
Bulbine narcissifolia,,Snakeflower
Bulbophyllum inconspicuum,,nan
Bulbophyllum vaginatum,,Sakat bawang
Bulbostylis capillaris,,nan
Bulnesia arborea,,nan
Bumelia americana,,nan
Bumelia laetevirens,,nan
Bumelia laniginosa,,nan
Bumelia lanuginosa,,nan
Bumelia retusa,,nan
Bumelia salicifolia,,"Caya Colorado,Acomat Marron"
Bumelia sp,,Buckthorn
Bumelia spiniflora,,nan
Bunchosia glandsulifera,,nan
Bunchosia glandsulosa,,nan
Bunium bulbocstanum,,nan
Bunium incrassatum,,Castanuela
Bupleurum chinense,,nan
Bupleurum falcatum,,"Ch'Ai Hu,Misima-Saiko"
Bupleurum falcatumformakiusianum,,Kyushu-Saiko
Bupleurum fruticosum,,Seseli
Bupleurum octoradiatum,,"Tz'U Hu,Ch'Ai Hu"
Bupleurum rotundifolium,,"Durchwachsblatt,Perfoliadum,Nido Di Scricciolo"
Bupleurum scorzoneraefolium,,Misima-Saiko
Bursera aloexylon,,nan
Bursera bipinnata,,nan
Bursera cuminata,,Gum Caranna
Bursera delpechiana,,nan
Bursera fagaroides,,Quauhxiotl
Bursera fragilis,,nan
Bursera grandifolia,,nan
Bursera graveolens,,nan
Bursera gummifera,,nan
Bursera hindsiana,,nan
Bursera jorullense,,nan
Bursera jorullensis,,nan
Bursera laxiflora,,nan
Bursera microphylla,,nan
Bursera odorata,,nan
Bursera penicillata,,nan
Bursera sarcopoda,,nan
Bursera serrata,,nan
Bursera simaruba,,"Bois D'Encens,Indio Desnudo,Gommier Blanc,Jobo,Chique,Almacigo,Gommier Rouge,Almacigo Colorado,Almacigo Blanco,Fragon Caranne"
Bursera tecomaca,,Yztacquauhxiotl
Bursera tomentosa,,Tacamahaca
Bursera trifoliata,,nan
Bursera trijuga,,nan
Butea comosperma,,nan
Butea frondosa,,"Kinsuka,Bengal Kino"
Butea monosperma,,"Teak,Bastard,Palasa"
Butea superba,,Pelochok
Butyrospermum parkii,,nan
Buxus sempervirens,,"Simsir,Buis,Huang Yang Mu,Bwes Beni,Boxwood,Le Buis,Boj"
Buxus wallichiana,,nan
Byrsocarpus coccineus,,Awennade
Byrsonima coriacea,,Bois Corne
Byrsonima crassifolia,,"Maricao,Peralejo,Cajuil Cimarron,Nanche,Madrono"
Byrsonima spicata,,Liane A Coliques
Bystropogon andinus,,Muna
Byttneria aculeata,,nan
Byttneria andamanensis,,nan
Byttneria cordata,,Una De Gato
Byttneria herbacea,,nan
Byttneria hirsuta,,Una De Gato
Byttneria scabra,,nan
Cabralea cangerana,,nan
Cacalia atriplicifolia,,Tassel Flower
Cacalia decomposita,,nan
Cacalia descomposita,,nan
Caccinia glauca,,Kaksinia
Cactus caesius,,nan
Cadaba farinosa,,nan
Cadaba rotundifolia,,nan
Cadaba trifoliata,,nan
Caesalpinia bonduc,,"Kalitji,Kelengkeng,Tenglor,Bondukbaum,Matahijang,Kaletja,Koetoek,Graines Quinine,Mate De Costa,Nickernut Tree,Kemroenggi,Bondukboom,Garrapata De Playa,Cniquier,Niccheri"
Caesalpinia bonducella,,"Bunduq Hindi,Baqan Aghaji"
Caesalpinia cacalaco,,nan
Caesalpinia coriaria,,"Macascol,Dividivi,Divi-Divi,Libidibi,Shumak,Guatapana,Gerbhulse"
Caesalpinia crista,,Ouary
Caesalpinia digyna,,nan
Caesalpinia echinata,,"Palo Brasil,Bois De Fernambouc"
Caesalpinia eriostachys,,nan
Caesalpinia gilliesii,,Poinciana
Caesalpinia japonica,,Zyaketu-Ibara
Caesalpinia minax,,Shih Lien
Caesalpinia nuga,,Kemrunggi
Caesalpinia pulcherimma,,"Francillade,nan"
Caesalpinia pulcherrima,,"Francillade,Chana,Jambul merak (peacock feather),Feng Huang Ch'Ang,Parak kegel,Cacalaca,Patra mengala,Poincillade,Clavellina"
Caesalpinia sappan,,"Setjang,Verzino,Soga jawa,Su Fang Mu,Sechang,Soo Mook,Sepang,Tjatjang,Brasilete"
Caesalpinia sepiaria,,"Yun Shih,Ma Tou,T'Ien Tou,nan"
Caesalpinia sp,,nan
Caesalpinia sp.,,"Klengkeng,Kuku tupai (Squrrel claw),Kuku tupai (Squirrel claw),Kutuk,Rentang,Banduc,Kelichi,Kemrunggi,Gorek"
Caesalpinia thorelii,,Samnor Meas
Caesalpinia tsoongii,,nan
Caesalpinia vesicaria,,nan
Caesulia axillaris,,nan
Cajanus cajan,,"Shan Tou Ken,Pois Congo,Kachang kayu (tree bean),Kachang gude,Chieh Tu Tzu,Pois D'Angolie,Guandul,Guaduli,Adhaki,Katjang bali,Pois Cajan,Chieh Tu,Gandul"
Cakile edentula,,nan
Cakile maritima,,Oruga Maritima
Caladium bicolor,,nan
Caladium sp,,nan
Caladium stratiatipes,,nan
Caladium striatipes,,nan
Calamagrostis lanceolata,,Riedgras
Calamintha clinopodium,,nan
Calamintha graveolens,,"Reihan Barri,Reehana Qubla"
Calamintha officinalis,,Yabani Oguoltu
Calamintha sp,,Calaminth
Calamus draco,,"K'O Liu,Hsueh Chieh,Ch'I Lin Chieh"
Calamus margaritae,,nan
Calamus ornatus,,"Rotan manau kelesek,Rotan machap,Rotan manau"
Calamus rheedei,,nan
Calamus rotang,,nan
Calamus rotjang,,Vacha
Calamus scipionum,,"Rotan raja,Rotan semambu,Rotan chinchang"
Calamus travancoricus,,nan
Calanthe masuca,,nan
Calanthe sp.,,Sebueh
Calanthe vestita,,nan
Calathea allouia,,nan
Calatola mollis,,nan
Calceolaria thyrisflora,,nan
Calceolaria thyrsiflora,,nan
Calea prunifolia,,nan
Calea urticifolia,,nan
Calea zacatechichi,,nan
Calendula alpina,,Marigold
Calendula arvensis,,"Maravilla,Maravilla Silvestre,Cayir Nergisi,Djane Passe Vlour"
Calendula multiflora,,Marigold
