,TAXON,ACTIVITY,CNAME,FAMILY,GENUS,SPECIES
1482,Bauhinia divaricata,"Diarrhea,Heart,Palpitation,Spasm,Stomach","Petit Cancon,Bois Calecon,Petit Calecon,Bois Ticalecon,Collegue Matouri",Fabaceae,Bauhinia,divaricata
1483,Bauhinia excisa,"Amenorrhea,Anodyne,Bite(Snake),Depurative,Eczema,Flu,Hypertension,Scorpion,Venereal,Yaws",nan,Fabaceae,Bauhinia,excisa
1484,Bauhinia flammifera,Gastrosis,Akar ketup-ketup,Fabaceae,Bauhinia,flammifera
1485,Bauhinia fulva,"Cough,Diarrhea,Fever",Areuj koepoe-koepoe,Fabaceae,Bauhinia,fulva
1486,Bauhinia griffithiana,"Diarrhea,Sore","Kempaga,Selak kerbau",Fabaceae,Bauhinia,griffithiana
1487,Bauhinia heterophylla,Syphilis,nan,Fabaceae,Bauhinia,heterophylla
1488,Bauhinia hirsuta,Apertif(Veterinary),nan,Fabaceae,Bauhinia,hirsuta
1489,Bauhinia lingua,Fever,Lidah-lidah,Fabaceae,Bauhinia,lingua
1490,Bauhinia malabarica,Wound,nan,Fabaceae,Bauhinia,malabarica
1491,Bauhinia merrilliana,Splenomegaly,nan,Fabaceae,Bauhinia,merrilliana
1492,Bauhinia mexicana,Jaundice,nan,Fabaceae,Bauhinia,mexicana
1493,Bauhinia monandra,"Diuretic,Dysentery","Caractere Des Hommes,Flamboyan Extranjero",Fabaceae,Bauhinia,monandra
1494,Bauhinia purpurea,"Anasarca,Anodyne,Antidote(Alcohol),Antidote(Datura),Antidote(Fish),Bite(Snake),Bite(Tiger),Convulsion,Dropsy,Epilepsy,Hemorrhage,Intoxication,Rheumatism,Rinderpest,Septicemia,Sore,Sting(Wasp),Stupefaction,Swelling,Antidote(Scorpion),Delirium,Tumor","nan,Tapak kuda",Fabaceae,Bauhinia,purpurea
1495,Bauhinia refescens,Dysentery,nan,Fabaceae,Bauhinia,refescens
1496,Bauhinia reticulata,"Soap,Ache(Tooth)",nan,Fabaceae,Bauhinia,reticulata
1497,Bauhinia retusa,"Rinderpest,Cholera,Bite(Snake)",nan,Fabaceae,Bauhinia,retusa
1498,Bauhinia rufescens,"Eye,Fever,Medicine",nan,Fabaceae,Bauhinia,rufescens
1499,Bauhinia scandens,Cough,Areuj koepoe-koepoe,Fabaceae,Bauhinia,scandens
1500,Bauhinia sp,"Ache(Head),Piscicide,Vermifuge",nan,Fabaceae,Bauhinia,sp
1501,Bauhinia spathacea?,Asthma,nan,Fabaceae,Bauhinia,spathacea?
1502,Bauhinia splendens,"Astringent,Rheumatism,Syphilis",nan,Fabaceae,Bauhinia,splendens
1503,Bauhinia thonningii,"Cold,Febrifuge,Soap",nan,Fabaceae,Bauhinia,thonningii
1504,Bauhinia tomentosa,"Boil,Tumor","Kupu kupu,St Thomas Tree",Fabaceae,Bauhinia,tomentosa
1505,Bauhinia ungulata,"Purgative,Sudorific,Vermifuge",nan,Fabaceae,Bauhinia,ungulata
1506,Bauhinia vahlii,"Cholera,Dropsy,Dysentery,Rinderpest,Ache(Stomach)",nan,Fabaceae,Bauhinia,vahlii
1507,Bauhinia variegata,"Alterative,Astringent,Dermatosis,Parturition,Scrofula,Skin,Sore,Tonic,Tumor,Ulcer,Obesity,Tumor(Abdomen)","Khuf Al Jamal,nan,Tapak kerbau,Bauhinia Baidha,Dagh Abanosi,Kovidara",Fabaceae,Bauhinia,variegata
1508,Befaria aestuans,Fungoid,Bejar,Ericaceae,Befaria,aestuans
1509,Befaria glauca,"Cold,Stimulant",nan,Ericaceae,Befaria,glauca
1510,Begonia acuminata,Tumor,nan,Begoniaceae,Begonia,acuminata
1511,Begonia acutifolia,Tumor,nan,Begoniaceae,Begonia,acutifolia
1512,Begonia bahiensis,Febrifuge,nan,Begoniaceae,Begonia,bahiensis
1513,Begonia balmisiana,"Amenorrhea,Purgative,Venereal",nan,Begoniaceae,Begonia,balmisiana
1514,Begonia crassiostus,Cancer,nan,Begoniaceae,Begonia,crassiostus
1515,Begonia cucullata,Diuretic,nan,Begoniaceae,Begonia,cucullata
1516,Begonia dominicalis,Cold,nan,Begoniaceae,Begonia,dominicalis
1517,Begonia evansiana,"Cosmetic,Emollient,Fever,Refrigerant,Ringworm,Sore(Throat),Stomachic,Skin,Stomatitis","Ch'Iu Hai T'Ang,Tuan Ch'Ang Ts'Ao,Shu-Kaido,Ch'Un Hai T'Ang",Begoniaceae,Begonia,evansiana
1518,Begonia evanstana,"Amenorrhea,Energy,Hematemesis,Refrigerant,Vaginitis,Anodyne,Gonorrhea,Puerperium,Trauma,Bite(Snake)",nan,Begoniaceae,Begonia,evanstana
1519,Begonia gracilis,"Emetic,Purgative",nan,Begoniaceae,Begonia,gracilis
1520,Begonia guaduensis,Ache(Stomach),nan,Begoniaceae,Begonia,guaduensis
1521,Begonia humilis,"Chest-Cold,Cold,Fever,Tuberculosis,Cough",nan,Begoniaceae,Begonia,humilis
1522,Begonia isoptera,Splenomegaly,Riang batu,Begoniaceae,Begonia,isoptera
1523,Begonia laciniata,Circulation,nan,Begoniaceae,Begonia,laciniata
1524,Begonia luxurians,Fever,nan,Begoniaceae,Begonia,luxurians
1525,Begonia meridensis,Thirst,nan,Begoniaceae,Begonia,meridensis
1526,Begonia minor,Cold,nan,Begoniaceae,Begonia,minor
1527,Begonia oblongata,Antidote(Dioscorea),nan,Begoniaceae,Begonia,oblongata
1528,Begonia rossmanniae,"Conjunctivitis,Collyrium",nan,Begoniaceae,Begonia,rossmanniae
1529,Begonia sanguinea,Diuretic,nan,Begoniaceae,Begonia,sanguinea
1530,Begonia sp,"Ache(Stomach),Bactericide,Repellant(Leech),Stomach,Cold",nan,Begoniaceae,Begonia,sp
1531,Begonia strigillosa,"Infection,Intestine",nan,Begoniaceae,Begonia,strigillosa
1532,Beilschmiedia appendiculata,Boil,nan,Lauraceae,Beilschmiedia,appendiculata
1533,Beilschmiedia madang,Astringent,nan,Lauraceae,Beilschmiedia,madang
1534,Beilschmiedia pahangensis,"Dysentery,Ache(Stomach),Dyspepsia","Tampu rengat,Medang salah (false laurel),Medang tandok (horn laurel)",Lauraceae,Beilschmiedia,pahangensis
1535,Beilschmiedia tonkinensis,Fracture,Perapoh,Lauraceae,Beilschmiedia,tonkinensis
1536,Belamcanda chinensis,"Abscess,Alexiteric,Amenorrhea,Antiphlogistic,Antitussive,Asthma,Bite(Dog),Bite(Snake),Breast,Cancer(Breast),Carminative,Chest,Cough,Deobstruent,Diuretic,Dropsy,Dyspepsia,Expectorant,Fever,Halitosis,Hepatosis,Liver,Malaria,Parturition,Poison,Purgative,Sore(Throat),Stomachic,Throat,Tonic,Tonsillitis,Tumor(Fauces),Tumor(Larynx),Stimulant,Constipation,Inflammation,Lumbago,Pharyngitis","nan,She Kan,Hi-Ogi,Pokok kipas (fan plant),Suliga,Semprit",Iridaceae,Belamcanda,chinensis
1537,Belliolum haplopus,Skin(Pig),nan,Winteraceae,Belliolum,haplopus
1538,Bellis perennis,"Blood-Vessel,Cancer,Cold,Depurative,Discutient,Diuretic,Frunculosis,Hematuria,Hemorrhage,Hemostat,Leucorrhea,Pectoral,Resolvent,Spasm,Stomachic,Tonic,Tumor,Vulnerary,Hematemesis,Pleurisy","nan,Bellorita,Zahr Al Lulu,Koyungozu,Zehr Al Rabee,Harmesha Bahr,Daisy,Ilk Bahar Chichegi,Maya",Asteraceae,Bellis,perennis
1539,Benincasa cerifera,"Aperient,Bruise,Diuretic,Epilepsy,Gonorrhea,Hysteria","To-Ga,Bligo,nan,Beligu,Kundur,Blonchengh",Cucurbitaceae,Benincasa,cerifera
1540,Benincasa hispida,"Abscess,Anodyne,Cough,Diuretic,Dysuria,Eruption,Expectorant,Fever,Gonorrhea,Heat,Hemoptysis,Internulcer,Longevity,Lung,Phthisis,Pimple,Rash,Thirst,Tonic,Vermifuge,Wound,Demulcent,Laxative,Cosmetic,Gravel,Suppurative,Tumor,Abdomen","nan,Tung Kua,Ti Chih,Shui Chih,Hindistan Qabaghi,Shijar Abyadh Hindi,Pai Kua,Tung Kua Tsu",Cucurbitaceae,Benincasa,hispida
1541,Benthamantha greenmanii,Vermifuge,nan,Fabaceae,Benthamantha,greenmanii
1542,Berberis amurensis,"Conjunctivitis,Furunculosis,Inflammation",nan,Berberidaceae,Berberis,amurensis
1543,Berberis aristata,"Condyloma(Anus),Dermatosis,Eye,Fever(Malarial),Malaria,Medicine,Tonic,Boil,Fever,Jaundice","Indian Lycium,nan,Hint Amberparisi",Berberidaceae,Berberis,aristata
1544,Berberis asiatica,"Alterative,Aperient,Diaphoretic,Ophthalmia,Piles,Refrigerant,Sore,Stomachic,Tumor(Abdomen),Eye,Tonic,Boil,Conjunctivitis,Laxative","nan,Haridra",Berberidaceae,Berberis,asiatica
1545,Berberis chengii,"Alexiteric,Fever,Gastritis,Inflammation,Trauma,Bactericide",nan,Berberidaceae,Berberis,chengii
1546,Berberis longipes,Refrigerant,nan,Berberidaceae,Berberis,longipes
1547,Berberis lycium,"Aperient,Carminative,Condyloma(Uterus),Febrifuge,Piles","nan,Indian Lycium",Berberidaceae,Berberis,lycium
1548,Berberis nervosa,"Detergent,Skin,Syphilis,Tonic",nan,Berberidaceae,Berberis,nervosa
1549,Berberis repens,"Collyrium,Contraceptive,Placenta,Stomach,Venereal,Cough,Rheumatism,Wound",nan,Berberidaceae,Berberis,repens
1550,Berberis sp,Stomach,nan,Berberidaceae,Berberis,sp
1551,Berberis thunbergii,"Bitter-Principle,Menorrhagia,Stomachic,Antiseptic,Fever,Refrigerant,Vermifuge","Megi,Hsiao Po,Shan Shih Liu,Tzu Po",Berberidaceae,Berberis,thunbergii
1552,Berberis trifoliolata,"Coffee,Ache(Tooth)",nan,Berberidaceae,Berberis,trifoliolata
1553,Berberis vulgaris,"Ache(Stomach),Alterative,Antiseptic,Cancer(Stomach),Cholagogue,Diuretic,Dysentery,Dyspepsia,Expectorant,Jaundice,Laxative,Medicine,Purgative,Tonic,Uterotonic,Fever,Hemorrhage","nan,Amberparis,Epine Vinette,Agracejo",Berberidaceae,Berberis,vulgaris
1554,Berchemia lineata,Sclerosis,nan,Rhamnaceae,Berchemia,lineata
1555,Bergenia ciliata,"Diarrhea,Ophthalmia,Tonic",nan,Saxifragaceae,Bergenia,ciliata
1556,Bergenia ligulata,"Burn,Diarrhea(Veterinary),Wound",nan,Saxifragaceae,Bergenia,ligulata
1557,Bergenia purpurascens,"Hemostatic,Tonic",nan,Saxifragaceae,Bergenia,purpurascens
1558,Bergia odorata,"Antidote(Scorpion),Medicine",nan,Elatinaceae,Bergia,odorata
1559,Berkheya discolor,"Nerves,Potherb",nan,Asteraceae,Berkheya,discolor
1560,Berkheya onopordifolia,"Evil,Fever,Leprosy",nan,Asteraceae,Berkheya,onopordifolia
1561,Berkheya spp.,Potherb,nan,Asteraceae,Berkheya,spp.
1562,Berlandiera lyrata,Stomach,nan,Asteraceae,Berlandiera,lyrata
1563,Berlinia globiflora,Poison,nan,Fabaceae,Berlinia,globiflora
1564,Bersama abyssinica,Suicide,nan,Melianthaceae,Bersama,abyssinica
1565,Bertholletia excelsa,Repellant(Insect),nan,Lecythidaceae,Bertholletia,excelsa
1566,Berula erecta,Poison,Water Parsnip,Apiaceae,Berula,erecta
1567,Berula thumbergii,Ache(Head),nan,Apiaceae,Berula,thumbergii
1568,Besleria sp,Bite(Snake),nan,Gesneriaceae,Besleria,sp
1569,Besseya rubra,"Cold,Laxative",nan,Scrophulariaceae,Besseya,rubra
1570,Beta vulgaris,"Ache(Ear),Asthma,Cancer(Lung),Emollient,Hepatitis,Pectoral,Pertussis,Refrigerant,Sedative,Splenitis,Tonic,Tumor,Diuretic,Laxative,Cancer","Acelga,Betterave,Beet,nan,Betterouge,Betterouge Potagere,Remolacha,Mexico",Chenopodiaceae,Beta,vulgaris
1571,Betula alba,"Astringent,Bilious,Breast,Cancer,Dandruff,Depurative,Diuretic,Fever,Gonorrhea,Hairblack,Rheumatism,Skin,Sore,Stimulant,Jaundice,Digestive,Sudorific","Husagaci,Qush Aghaji,Hua Mu,Bouleau,nan,Qayin Aghaji,Shajarat Al Talmul",Betulaceae,Betula,alba
1572,Betula ermanii,"Wound,Inflammation",nan,Betulaceae,Betula,ermanii
1573,Betula lenta,"Anodyne,Burn,Chafe,Dandruff,Depurative,Gout,Medicine,Parasiticide,Rheumatism,Scald,Sciatica,Skin,Sugar,Tea,Wound,Diuretic","nan,Tatli Husagaci",Betulaceae,Betula,lenta
1574,Betula lutea,Bruise,nan,Betulaceae,Betula,lutea
1575,Betula nigra,Bruise,nan,Betulaceae,Betula,nigra
1576,Betula papyrifera,"Bruise,Fumitory,Scald,Wound,Burn",nan,Betulaceae,Betula,papyrifera
1577,Betula populifolia,Bruise,nan,Betulaceae,Betula,populifolia
1578,Betula utilis,"Burn,Contraceptive,Wound",nan,Betulaceae,Betula,utilis
1579,Betula veerucosa,Parasiticide,nan,Betulaceae,Betula,veerucosa
1580,Betula verrucosa,"Antiseptic,Diuretic,Irritant,Ointment,Skin","nan,Abedul",Betulaceae,Betula,verrucosa
1581,Bhesa paniculata,Ache(Head),Arn.,Celastraceae,Bhesa,paniculata
1582,Bidens bipinnata,"Cancer,Hemorrhage,Debility,Bite(Snake),Jaundice,Rheumatism",nan,Asteraceae,Bidens,bipinnata
1583,Bidens bipinnatus,"Bite(Dog),Hepatitis",nan,Asteraceae,Bidens,bipinnatus
1584,Bidens cernua,"Antiseptic,Emmenagogue,Narcotic,Sedative","Knikkend Tandzaadkruid,Bident Penche,Burr Marigold,Nodding Marigold",Asteraceae,Bidens,cernua
1585,Bidens chinensis,"Masticatory,Ache(Head)",nan,Asteraceae,Bidens,chinensis
1586,Bidens cynapiifolia,"Ache(Ear),Bactericide,Stomach,Fever",nan,Asteraceae,Bidens,cynapiifolia
1587,Bidens frondosa,"Dysentery,Fever,Cold",nan,Asteraceae,Bidens,frondosa
1588,Bidens graveolens,Sclerosis(Glands),nan,Asteraceae,Bidens,graveolens
1589,Bidens leucantha,Sclerosis(Glands),nan,Asteraceae,Bidens,leucantha
1590,Bidens parviflora,"Antidote(Scorpion),Antidote(Spider),Bite(Snake),Wound","Kuei Chen Ts'Ao,Kuei Ch'Ai",Asteraceae,Bidens,parviflora
1591,Bidens pilosa,"Aftosa,Allergy,Amygdalitis,Angina,Boil,Bronchitis,Catarrh,Colic,Conjunctivitis,Cough,Diabetes,Diuretic,Dysentery,Ear,Emmenagogue,Eye,Fever,Food-Poison,Heat rash,Inflammation,Intestine,Intoxicant,Itch,Lactogogue,Liqueur,Liver,Magic,Pectoral,Rheumatism,Sclerosis(Glands),Sialogogue,Sore,Stomatitis,Styptic,Ache(Tooth),Urticaria,Vulnerary,Bite(Snake),Antidote,Cancer,Carminative,Cold,Diarrhea,Stomach","Z'Aiguille,nan,Ketul,Subang puteri batek,Romerillo,Clavelito De Monte,Alfiler,Saltillo,Aceitilla,Jarongan,Pau-pau pasir,Yema De Huevo",Asteraceae,Bidens,pilosa
1592,Bidens pilosus,Lactogogue,Zeguie,Asteraceae,Bidens,pilosus
1593,Bidens sp,"Asthma,Debility,Tea,Apertif,Laxative",nan,Asteraceae,Bidens,sp
1594,Bidens tripartita,"Antiseptic,Aperient,Astringent,Diuretic,Dysentery,Emmenagogue,Hairblack,Sclerosis(Spleen),Scurvy,Sedative,Skin,Styptic,Sudorific,Eczema,Narcotic,Fever","Sukeneviri,Lang Pa Ts'Ao,Tel Maiy,Water Agrimony,Qinnab Maiy",Asteraceae,Bidens,tripartita
1595,Bidens tripartitus,"Diaphoretic,Hematuria,Hemorrhage,Uterine,Astringent,Diuretic,Dropsy,Gout",nan,Asteraceae,Bidens,tripartitus
1596,Bignonia alliacea,Vermifuge,nan,Bignoniaceae,Bignonia,alliacea
1597,Bignonia capreolata,"Alterative,Obesity,Soap,Thirst","Trumpet Flower,nan",Bignoniaceae,Bignonia,capreolata
1598,Bignonia ophthalmica,Eye,nan,Bignoniaceae,Bignonia,ophthalmica
1599,Bignonia unduis-cati,Bite(Snake),nan,Bignoniaceae,Bignonia,unduis-cati
1600,Bignonia unguis-cati,"Antidote,Bite(Snake),Fever,Inflammation,Intestine,Manchineel",nan,Bignoniaceae,Bignonia,unguis-cati
1601,Bignonia unguiscati,Bite(Snake),nan,Bignoniaceae,Bignonia,unguiscati
1602,Biophytum adiantoides,Gastrosis,Payong ali,Oxalidaceae,Biophytum,adiantoides
1603,Biophytum petersianum,Infertility,Klotzsch,Oxalidaceae,Biophytum,petersianum
1604,Biophytum reinwardtii,"Smallpox,Dermatosis,Rash","Krambilan,Biskutjinggan,Kutjinggan",Oxalidaceae,Biophytum,reinwardtii
1605,Biophytum sensitivum,"Ache(Stomach),Anaphrodisiac (Female),Burn,Chest,Collapse,Contraceptive(Male),Diabetes,Fever,Gonorrhea,Thirst,Tuberculosis,Tumor,Vulnerary,Wound,Anodyne,Diuretic,Bilious,Convulsion,Fumitory,Lithiasis,Spasm","nan,Sikerpud,Sirhirput,Daun kutjinggan,Makahia,Damon huya,Inja payung",Oxalidaceae,Biophytum,sensitivum
1606,Bischofia javanica,"Astringent,Fever,Sore,Tonsillitis,Wound,Burn,Cough,Diarrhea,Poison,Ache(Tooth),Cracked feet,Gastritis,Urticaria,Eye,Throat",nan,Euphorbiaceae,Bischofia,javanica
1607,Bischofia sp,Sore,nan,Euphorbiaceae,Bischofia,sp
1608,Biscutella auriculata,Diuretic,Hierba De Los Anteojos,Brassicaceae,Biscutella,auriculata
1609,Bixa orellana,"Ache(Head),Antidote,Aphrodisiac,Astringent,Burn,Cancer,Coloring,Cosmetic,Depurative,Diuretic,Dysentery,Epilepsy,Erysipelas,Excitant,Fainting,Fever,Flu,Gonorrhea,Hair-Oil,Inflammation,Repellant(Insect),Jaundice,Malaria,Oliguria,Purgative,Stomachic,Stomatitis,Throat,Unguent,Venereal,Diabetes,Cordial,Douche,Parasiticide,Refrigerant,Styptic,Tumor,Kidney","nan,Achote,Uruku,Beni-No-Ki,Orleanstrauch,Bija,Roucou,Roucoyer,Roucouyer,Onoto,Achiotl",Bixaceae,Bixa,orellana
1610,Blackstonia perfoliata,Cancer,Churmel The Great,Gentianaceae,Blackstonia,perfoliata
1611,Blechnum orientale,"Anthelminthic,Boil,Dropsy,Urinary","nan,Paku lipan (centipede fern),Paku ikan (fish fern)",Blechnaceae,Blechnum,orientale
1612,Blechnum pyramidatum,Cough,nan,Blechnaceae,Blechnum,pyramidatum
1613,Blechnum spicant,Diarrhea,nan,Blechnaceae,Blechnum,spicant
1614,Blechum brownei,"Boil,Insecticide,Pediculicide,Ulcer,Vermifuge",nan,Acanthaceae,Blechum,brownei
1615,Blechum pyramidatum,"Diuretic,Night-Sweat,Micturition","Campeche Mallow,nan",Acanthaceae,Blechum,pyramidatum
1616,Bleekeria sandwichensis,Debility,nan,nan,Bleekeria,sandwichensis
1617,Blepharis capensis,"Anthrax,Bite(Snake)",nan,Acanthaceae,Blepharis,capensis
1618,Blepharis edulis,"Expectorant,Resolvent",nan,Acanthaceae,Blepharis,edulis
1619,Blepharis espinosa,Cold,nan,Acanthaceae,Blepharis,espinosa
1620,Blepharis linariaefolia,Medicine,nan,Acanthaceae,Blepharis,linariaefolia
1621,Blepharocalyx cisplatensis,"Astringent,Tonic",nan,Myrtaceae,Blepharocalyx,cisplatensis
1622,Blepharodon mucronatum,Bite(Snake),nan,Asclepiadaceae,Blepharodon,mucronatum
1623,Bletia campanulata,Dysentery,nan,Orchidaceae,Bletia,campanulata
1624,Bletia hyacintha,"Cancer(Breast),Malignancy,Swelling,Tumor","Pai Chi,nan",Orchidaceae,Bletia,hyacintha
1625,Bletilla hyacinthina,"Burn,Emollient,Skin",nan,Orchidaceae,Bletilla,hyacinthina
1626,Bletilla striata,"Abscess,Ache(Stomach),Ague,Apertif,Chafe,Chest,Cough,Demulcent,Dysentery,Dyspepsia,Hematemesis,Hemoptysis,Hemorrhage,Hemostat,Hemostatic,Inflammation,Internulcer,Lung,Ornament,Pain,Paste,Piles,Skin,Trauma,Tuberculosis,Wound,Enterorrhagia,Gastrorrhagia,Silicosis,Tumor,Swelling","nan,Pai Chi,Siran,Si-Ran",Orchidaceae,Bletilla,striata
1627,Blighia sapida,"Ache(Rib),Anodyne,Antiemetic,Epilepsy,Fatality,Massage,Migraine,Ophthalmia,Orchitis,Piscicide,Poison,Stimulant,Yaws,Yellow Fever,Edema,Antidote,Conjunctivitis,Smallpox,Soap,Tumor(Testicle),Sore","nan,Akee,Aki,Arbre A Fricasser",Sapindaceae,Blighia,sapida
1628,Blighia unijugata,"Fever,Hemostat,Parturition,Piscicide,Purgative,Tonic,Tranquilizer,Emetic",nan,Sapindaceae,Blighia,unijugata
1629,Blumea balsamifera,"Angina,Beriberi,Fever,Fumitory,Ache(Head),Lumbago,Malaria,Menorrhagia,Parturition,Piscicide,Rheumatism,Splenomegaly,Ache(Stomach),Stomachic,Sudorific,Depurative,Insomnia,Vermifuge","Telinga kerbau (Buffalo ear),Sembo,Sembing,nan,Sembang,Chapa,Capa,Sembong,Kecape,Sembung",Asteraceae,Blumea,balsamifera
1630,Blumea chinensis,"Beri-Beri,Beriberi,Colic","nan,Akar semboh",Asteraceae,Blumea,chinensis
1631,Blumea densiflora,Repellant(Insect),nan,Asteraceae,Blumea,densiflora
1632,Blumea lacera,"Anthelminthic,Cholera,Collyrium,Deobstruent,Diuretic,Febrifuge,Fever,Stimulant,Vermifuge,Styptic,Astringent,Insectifuge,Scurvy","nan,Lumai hutan,Kayu batu",Asteraceae,Blumea,lacera
1633,Blumea myriocephala,"Bronchitis,Cataplasm,Rheumatism,Asthma","Kepijit,nan,Chapa",Asteraceae,Blumea,myriocephala
1634,Blumea pubigera,Colic,nan,Asteraceae,Blumea,pubigera
1635,Bobea sp,"Depurative,Sore",nan,Rubiaceae,Bobea,sp
1636,Bocconia arborea,"Analgesic,Dropsy,Sore,Ache(Tooth),Tumor,Ulcer,Vulnerary,Wart,Anesthetic,Collyrium,Eruption,Jaundice","nan,Llorasangre",Papaveraceae,Bocconia,arborea
1637,Bocconia cordata,"Carcinoma,Polyp,Wart","Po Lo Hui,nan",Papaveraceae,Bocconia,cordata
1638,Bocconia frutescens,"Anesthetic,Bronchitis,Cancer,Cataplasm,Caustic,Chilblain,Collyrium,Dropsy,Emetic,Eruption,Itch,Jaundice,Mycosis,Ophthalmia,Parasiticide,Poison,Purgative,Rubefacient,Sedative,Skin,Sore,Ache(Tooth),Tumor,Ulcer,Vermifuge,Wart,Wound,Aposteme,Pediculicide,Repellant(Insect)","nan,Yanali,Palo De Toro,Bois De Coq,Yagrumo Macho,Bois Coq D'Inde,Pan Blanco,Higeura Infierno,Bois Codine,Aji Moron,Arbre A Pain,Higuera Del Diablo,Celandine,Tree,Gengibrillo,Llora Sangre,Cocoxihuitl",Papaveraceae,Bocconia,frutescens
1639,Bocconia vulcanica,Poison,nan,Papaveraceae,Bocconia,vulcanica
1640,Boehmeria nipononivea,"Emmenagogue,Diuretic",Kara-Musi,Urticaceae,Boehmeria,nipononivea
1641,Boehmeria nivea,"Anodyne,Antidote(Arrow poison),Bite(Bug),Bite(Snake),Boil,Demulcent,Diuretic,Dysentery,Fever,Hemostat,Preventitive(Miscarriage),Refrigerant,Rheumatism,Sore,Suppurative,Tonic,Wound,Flux,Rectum,Uterus","Ortie Blanche,Ch'U Ma,Rami-rami,Madame Parquet,nan,Rami,Ramie",Urticaceae,Boehmeria,nivea
1642,Boehmeria virgata,"Dysentery,Hematochezia",nan,Urticaceae,Boehmeria,virgata
1643,Boenninghausenia albiflora,Wound,nan,Rutaceae,Boenninghausenia,albiflora
1644,Boerhaavia chinensis,Itch,nan,Nyctaginaceae,Boerhaavia,chinensis
1645,Boerhaavia coccinea,Emetic,nan,Nyctaginaceae,Boerhaavia,coccinea
1646,Boerhaavia diffusa,"Abdomen,Albuminuria,Anodyne,Antidote(Scolopendrid),Anus,Asthma,Bright's Disease,Convulsion,Depurative,Diarrhea,Diuretic,Dropsy,Dysmenorrhea,Emetic,Epilepsy,Erysipelas,Expectorant,Fever,Fistula,Gastritis,Hysteria,Jaundice,Laxative,Malaria,Prolapse,Purgative,Refrigerant,Smallpox,Spasm,Swelling,Tumor(Abdomen),Vermifuge,Yaws,Dysentery,Enteritis,Nerves","nan,Pega Pollo Cimarron,Manger Cochon,Toston,L.,Pega Pollo,Liane Manger Cochon,Punarnava",Nyctaginaceae,Boerhaavia,diffusa
1647,Boerhaavia erecta,"Depurative,Diuretic,Epilepsy,Hysteria,Jaundice,Malaria,Measles,Nerves,Spasm,Diarrhea,Sore,Albuminuria,Asthma,Dropsy,Erysipelas","Patagon,nan",Nyctaginaceae,Boerhaavia,erecta
1648,Boerhaavia hirsuta,Sclerosis(Liver),Erva Toustao,Nyctaginaceae,Boerhaavia,hirsuta
1649,Boerhaavia paniculata,Hemostat,nan,Nyctaginaceae,Boerhaavia,paniculata
1650,Boerhaavia plumbaginea,"Jaundice,Wound",nan,Nyctaginaceae,Boerhaavia,plumbaginea
1651,Boerhaavia repanda,Scabies,Ketch belangan,Nyctaginaceae,Boerhaavia,repanda
1652,Boerhaavia repens,"Asthma,Emetic,Expectorant,Jaundice",nan,Nyctaginaceae,Boerhaavia,repens
1653,Boerhaavia sp,"Dropsy,Beri-Beri",nan,Nyctaginaceae,Boerhaavia,sp
1654,Boerhavia diffusa,Erysipelas,nan,Nyctaginaceae,Boerhavia,diffusa
1655,Boerlagiodendron sp,Parturition,nan,Araliaceae,Boerlagiodendron,sp
1656,Bomarea sp,Sterility,nan,Liliaceae,Bomarea,sp
1657,Bombax buonopozence,Emmenagogue,nan,Bombacaceae,Bombax,buonopozence
1658,Bombax buonpozense,"Craw-Craw,Dentifrice,Emmenagogue,Emollient,Lactogogue,Panacea,Skin",nan,Bombacaceae,Bombax,buonpozense
1659,Bombax ceiba,"Ache(Leg),Antidote(Centipede),Antidote(Scorpion),Antidote(Spider),Atrophy,Bite(Snake),Cholera,Gum,Menorrhagia,Neuralgia,Pleurisy,Rheumatism,Rinderpest,Smallpox,Sore,Spiderlick,Stomatitis,Swelling,Ache(Tooth),Anodyne,Caries,Leprosy,Megalospleny,Pneumonia,Hemorrhage",nan,Bombacaceae,Bombax,ceiba
1660,Bombax ellipticum,"Catarrh,Cough,Gum,Ulcer,Fever,Ache(Tooth),Diuretic",nan,Bombacaceae,Bombax,ellipticum
1661,Bombax malabaricum,"Alterative,Aphrodisiac,Astringent,Emetic,Impotency,Stimulant,Tonic,Demulcent,Cancer(Uterus),Diarrhea,Filler,Hemostatic,Restorative,Tumor(Abdomen)","Bombaks,nan,Kiwata,Salmali",Bombacaceae,Bombax,malabaricum
1662,Bombax palmeri,Wound,nan,Bombacaceae,Bombax,palmeri
1663,Bonnaya antipoda,"Diarrhea,Vertigo,Sore,Vermifuge","Sumpu chaching,Mata juju,Kerak-kerak",nan,Bonnaya,antipoda
1664,Bonnaya serrata,"Parturition,Sore","Kerak-kerak jantan,Urek-urek polo",nan,Bonnaya,serrata
1665,Bontia daphnoides,"Cold,Cough,Depurative,Hypertension,Nephritis,Poison","nan,Olivier Batard",Myoporaceae,Bontia,daphnoides
1666,Boophane disticha,"Poison,Circumcision",nan,Liliaceae,Boophane,disticha
1667,Boophone disticha,"Poison,Poison(Arrow),Pyroplasmosis(Veterinary)",nan,Liliaceae,Boophone,disticha
1668,Borago officinalis,"Corn,Cyanogenetic,Diuretic,Emollient,Fever,Laxative,Nervine,Sudorific,Tumor,Depurative,Spasm,Diaphoretic,Febrifuge,Pectoral,Urogenital","Borraja,nan,Fleurs De Bourrache,Hodan,Ruri-Zisa,Bourrache",Boraginaceae,Borago,officinalis
